# Número | Matéria | Conteúdo | Dificuldade estimada (F/M/D)
134|Física|Ondulatória — velocidade do som|M
135|Física|Óptica — refração|F
136|Matemática|Funções — interpretação de gráficos|M
137|Matemática|Probabilidade — eventos sucessivos|D
138|Matemática|Estatística — mediana|M
139|Matemática|Razão e proporção — escala|F
140|Matemática|Contagem e organização de torneios|D
141|Matemática|Probabilidade — bingo|D
142|Matemática|Análise combinatória — princípio multiplicativo|M
143|Matemática|Geometria espacial — planificação do cubo|M
144|Matemática|Divisão euclidiana e algoritmos|F
145|Matemática|Razão e proporção|F
146|Matemática|Divisibilidade — máximo divisor comum|M
147|Matemática|Porcentagem e taxas sucessivas|M
148|Matemática|Potências e proporcionalidade|M
149|Matemática|Estatística — mediana em tabela|M
150|Matemática|Função quadrática — valor máximo|M
151|Matemática|Proporcionalidade e conversão de unidades|M
152|Matemática|Geometria plana — distâncias e proporção|D
153|Matemática|Geometria espacial — volume do cone|M
154|Matemática|Porcentagem — variação relativa|M
155|Matemática|Análise combinatória — combinações|D
156|Matemática|Geometria plana — simetria e dobraduras|M
157|Matemática|Função definida por partes|M
158|Matemática|Função quadrática — vértice|M
159|Matemática|Sequências periódicas|M
160|Matemática|Geometria espacial — projeção ortogonal|M
161|Matemática|Geometria plana — área e escala|M
162|Matemática|Função afim — projeção de vendas|M
163|Matemática|Porcentagem e média ponderada|M
164|Matemática|Proporcionalidade e unidades de tempo|M
165|Matemática|Razão e proporção — períodos|M
166|Matemática|Interpretação de gráficos — posições|M
167|Matemática|Matemática financeira — porcentagens sucessivas|M
168|Matemática|Orientação espacial e trajetórias|F
169|Matemática|Geometria espacial — volume do cilindro|M
170|Matemática|Razão e interpretação de gráficos|M
171|Matemática|Estatística — média aritmética|F
172|Matemática|Geometria espacial — volume do paralelepípedo|M
173|Matemática|Aritmética e leitura de tabelas|F
174|Matemática|Geometria espacial — cilindro e esfera|M
175|Matemática|Sistema decimal — ordem de grandeza|F
176|Matemática|Geometria plana — menor percurso|M
177|Matemática|Aritmética — comparação de custos|F
178|Matemática|Geometria espacial — volume de esferas|M
179|Matemática|Função afim — extrapolação de dados|F
180|Matemática|Geometria espacial — projeção ortogonal|M
